No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
268,受注希望,土木一式工事,953.0,144430000,道路築造工 切土工 鉄筋挿入工 グラウンドアンカー工,飯田建設事務所,下伊那郡下條村,北沢建設（株）、勝間田建設（株）、南信土木建築（有）、神稲建設（株）、（株）吉野組、（株）トライネット、金本建設（株）、木下建設（株）、小池建設（株）
269,受注希望,土木一式工事,812.0,27510000,,南信州地域振興局,喬木村,金本建設（株）、大平建設（株）
270,受注希望,土木一式工事,741.0,22120000,道路築造工 型擁壁工 歩道舗装工,飯田建設事務所,飯田市,（有）竹村工務所、（有）今村工務所、（有）雄長組、高本建設（株）、（有）代田工業
271,受注希望,土木一式工事,812.0,54460000,道路築造工,飯田建設事務所,下伊那郡阿南町,（株）片桐工務所、金本建設（株）、木下工業（株）、藤井興業（株）、（有）福士組、（有）新野工務店、（株）パテック、（株）サンテクト、（株）清信建設興業
272,受注希望,ほ装工事,825.0,9080000,舗装修繕工,飯田建設事務所,飯田市,金本建設（株）、神稲建設（株）、小木曽建設（株）、小池建設（株）、（株）パテック
273,受注希望,土木一式工事,812.0,32820000,拡幅改良工 土留工,飯田建設事務所,飯田市,南信土木建築（有）、細澤建設（株）、金本建設（株）、（有）北原土木、クラウニング（株）、田中工業（有）、阿智工務店（株）、（有）雄長組、（有）新井工務店、古田工業（株）、（有）畑中工務所、宮嘉建設（有）、（有）竹村工務所、木下工業（株）、（株）内山組、（有）コスモ建設、（株）近藤工務店、二吉建設（株）
274,受注希望,ほ装工事,825.0,8090000,舗装修繕工 切削オーバーレイ工 オーバーレイ工,飯田建設事務所,下伊那郡高森町,小木曽建設（株）、神稲建設（株）
275,受注希望,ほ装工事,825.0,26650000,舗装修繕工,飯田建設事務所,下伊那郡大鹿村,（有）宮澤組、勝間田建設（株）、南信土木建築（有）、神稲建設（株）、（株）トライネット、小池建設（株）、（株）吉野組、藤井興業（株）、大協建設（株）、金本建設（株）、木下建設（株）、小木曽建設（株）
276,受注希望,土木一式工事,811.0,4550000,フトン篭工 排水路工,南信州地域振興局,下伊那郡阿南町,金山工業（株）
277,受注希望,とび・土工・コンクリート工事,756.0,9310000,えん堤補修工 水叩き工,飯田建設事務所,下伊那郡下條村,（有）新井工務店
278,総合評価,土木一式工事,953.0,144500000,道路築造工 ボックスカルバート工,飯田建設事務所,下伊那郡松川町,金本建設（株）、（株）吉野組、吉川建設（株）、勝間田建設（株）
279,受注希望,土木一式工事,812.0,35240000,道路築造工 ボックスカルバート工 付属施設工,飯田建設事務所,下伊那郡松川町,（株）吉野組、（有）尾畑組
280,受注希望,土木一式工事,812.0,53630000,道路築造工,飯田建設事務所,飯田市,（有）雄長組、（株）カリス、南信土木建築（有）、（株）吉野組、藤井興業（株）、（株）トライネット、（有）コスモ建設、田中工業（有）、金本建設（株）、細澤建設（株）、クラウニング（株）、（有）尾畑組、宮嘉建設（有）、勝間田建設（株）、（有）畑中工務所、（有）福士組、古田工業（株）、小池建設（株）
281,受注希望,土木一式工事,812.0,71990000,道路築造工,飯田建設事務所,下伊那郡松川町,（有）雄長組、（株）吉野組、藤井興業（株）、勝間田建設（株）、クラウニング（株）、（株）トライネット、（有）尾畑組、（有）宮澤組、金本建設（株）、細澤建設（株）、（有）コスモ建設
282,受注希望,とび・土工・コンクリート工事,756.0,34870000,落石対策工 高エネルギー吸収型落石防止網工 落石防止網工 簡易吹付法枠工 モルタル吹付工,飯田建設事務所,下伊那郡阿智村から阿南町,（有）新野工務店、伊賀良建設（株）、金本建設（株）、三建建設（有）、細澤建設（株）、南信土木建築（有）、南部建設（有）、（有）畑中工務所、（株）パテック、藤井興業（株）
283,受注希望,電気工事,820.0,67380000,トンネル照明設備工,飯田建設事務所,県内一円,（株）共進電気、東陽興業（株）、新井電気工事（株）
284,受注希望,土木一式工事,741.0,26120000,交差点安全施設工 ガードパイプ工 舗装工,飯田建設事務所,飯田市,（有）今村工務所、阿智工務店（株）、高本建設（株）
285,受注希望,とび・土工・コンクリート工事,756.0,37630000,崩壊土砂防止工 重力式擁壁工 落石防護柵工,飯田建設事務所,飯田市,
286,受注希望,土木一式工事,741.0,22720000,床固工,南信州地域振興局,阿智村,（有）福士組、古田工業（株）、（有）新野工務店、（有）新井工務店
287,総合評価,土木一式工事,812.0,46590000,谷止工,南信州地域振興局,阿智村,細澤建設（株）、（株）トライネット、（有）尾畑組、勝間田建設（株）、南信土木建築（有）、三建建設（有）、古田工業（株）
288,受注希望,土木一式工事,812.0,61220000,護岸工 ブロック張工 ブロック積工 小口止工 根継工 取付工 護床工 帯工 仮設工 工事用道路工 水替工,飯田建設事務所,下伊那郡大鹿村,大協建設（株）、（株）吉野組、（株）トライネット、（有）コスモ建設、飯田建設（株）、神稲建設（株）、シブキヤ建設（株）
289,総合評価,土木一式工事,812.0,48820000,谷止工 山腹工 土留工 伏工,南信州地域振興局,天龍村,細澤建設（株）、（有）福士組、（株）パテック
290,総合評価,ほ装工事,926.0,42200000,舗装修繕工,飯田建設事務所,飯田市,長豊建設（株）
291,受注希望,ほ装工事,825.0,24340000,舗装修繕工,飯田建設事務所,飯田市,神稲建設（株）、小池建設（株）、小木曽建設（株）、（株）吉野組、金本建設（株）、木下建設（株）、藤井興業（株）、勝間田建設（株）、南信土木建築（有）、伊賀良建設（株）、（有）小林工業、高本建設（株）、（有）新野工務店
292,総合評価,ほ装工事,926.0,44480000,舗装修繕工,飯田建設事務所,下伊那郡高森町から松川町,小木曽建設（株）、藤井興業（株）、勝間田建設（株）、神稲建設（株）、北沢建設（株）、木下建設（株）、金本建設（株）、（株）トライネット、大協建設（株）、小池建設（株）
293,総合評価,ほ装工事,926.0,事後公開,舗装修繕工,飯田建設事務所,飯田市,金本建設（株）、小木曽建設（株）、小池建設（株）、木下建設（株）、藤井興業（株）、（株）トライネット、勝間田建設（株）
294,総合評価,ほ装工事,926.0,54310000,舗装修繕工 切削工 オーバーレイ工,飯田建設事務所,飯田市,勝間田建設（株）、金本建設（株）、神稲建設（株）、小木曽建設（株）
295,総合評価,ほ装工事,926.0,74740000,舗装修繕工,飯田建設事務所,下伊那郡阿智村,金本建設（株）、小木曽建設（株）、小池建設（株）、神稲建設（株）、木下建設（株）、藤井興業（株）、（株）トライネット、勝間田建設（株）、（株）カリス
296,受注希望,とび・土工・コンクリート工事,841.0,90560000,法面対策工 吹付工 ポケット式落石防止網工,飯田建設事務所,下伊那郡阿智村,（株）片桐工務所、北沢建設（株）、長野機材（株）、（株）三六組、勝間田建設（株）、（株）カリス、金本建設（株）、南信土木建築（有）、小池建設（株）、伊賀良建設（株）、（株）吉野組、（株）トライネット、阿智工務店（株）、（株）シノダ、（株）清信建設興業、（株）サンテクト、（有）雄長組、高本建設（株）、クラウニング（株）、木下工業（株）
297,受注希望,とび・土工・コンクリート工事,841.0,77020000,小戸名工 繊維補強モルタル吹付工 雪見橋下工 植生基材吹付工 桧原工,飯田建設事務所,下伊那郡阿南町,（株）片桐工務所、南信土木建築（有）、北沢建設（株）、（株）パテック、伊賀良建設（株）、勝間田建設（株）、（株）清信建設興業、阿智工務店（株）、（有）雄長組、（株）シノダ、金本建設（株）、木下工業（株）、（株）カリス
298,受注希望,とび・土工・コンクリート工事,756.0,35680000,法面対策工 赤石トンネル下工 吹付工,飯田建設事務所,飯田市,宮下建設（有）、伊賀良建設（株）、（有）畑中工務所、（株）近藤工務店、藤井興業（株）、（有）北原土木、（株）カリス、（有）新野工務店、細澤建設（株）
299,受注希望,土木一式工事,741.0,16250000,ブロック積工 小口止めコンクリート工 護床工 石積補強工 ラス張工 鉄筋挿入工,飯田建設事務所,飯田市,南信土木建築（有）、細澤建設（株）、阿智工務店（株）、（有）北原土木、（有）雄長組、道栄建設（株）、（有）畑中工務所、クラウニング（株）
300,総合評価,とび・土工・コンクリート工事,841.0,75990000,簡易吹付法枠工 植生基材吹付工 改良土吹付工 水抜土留柵工 仮道撤去工,飯田建設事務所,下伊那郡大鹿村,北沢建設（株）、大協建設（株）、（株）吉野組、神稲建設（株）、（株）トライネット
301,総合評価,とび・土工・コンクリート工事,841.0,85610000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,（株）岡谷組、吉川建設（株）、長豊建設（株）、神稲建設（株）、木下建設（株）、（株）トライネット、高本建設（株）、北沢建設（株）、勝間田建設（株）
302,総合評価,とび・土工・コンクリート工事,841.0,99520000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,（株）岡谷組、吉川建設（株）、木下建設（株）、神稲建設（株）、高本建設（株）、（株）トライネット、長豊建設（株）、北沢建設（株）、勝間田建設（株）
303,受注希望,土木一式工事,741.0,24690000,歩道設置工 側溝工,飯田建設事務所,上市,（有）コスモ建設、小木曽建設（株）、（有）雄長組、（有）畑中工務所、南信土木建築（有）、（有）新野工務店、（有）尾畑組、（有）今村工務所、（有）宮澤組、（有）吉川建設工業、（有）北原土木、細澤建設（株）、（有）代田工業、（有）シビル・ササキ、高本建設（株）、太田土建（有）、道栄建設（株）、クラウニング（株）
304,受注希望,とび・土工・コンクリート工事,841.0,49680000,落石防止工 落石防護柵工,飯田建設事務所,伊那市から飯田市,（株）三六組、勝間田建設（株）、（株）トライネット、（株）シノダ、三建建設（有）、阿智工務店（株）、池端工業（株）、山崎建設（株）、（株）近藤工務店
305,受注希望,土木一式工事,811.0,3100000,床固工,南信州地域振興局,阿智村,道栄建設（株）、（有）神和創建
306,受注希望,土木一式工事,953.0,408160000,仮設土留先行堀削工 ダウンザホールハンマ工 地下水排除工,飯田建設事務所,下伊那郡天龍村,木下建設（株）
307,受注希望,鋼構造物工事,751.0,事後公開,橋梁補修工 主桁補修工 主桁塗装工,飯田建設事務所,飯田市,
308,総合評価,ほ装工事,825.0,事後公開,道路工,南信州地域振興局,下伊那郡高森町,小池建設（株）、小木曽建設（株）、（有）北原土木
309,受注希望,森林整備,,5970000,,南信州地域振興局,飯田市,
310,受注希望,土木一式工事,812.0,43120000,拡幅改良工 ボックスカルバート工 測溝工 舗装工,飯田建設事務所,飯田市,（有）北原土木、南信土木建築（有）、（有）新野工務店、高本建設（株）、（有）雄長組、細澤建設（株）、クラウニング（株）
311,受注希望,土木一式工事,741.0,27200000,拡幅改良工 側溝工 舗装工,飯田建設事務所,飯田市,（有）吉川建設工業、道栄建設（株）、南信土木建築（有）、（有）北原土木、高本建設（株）、細澤建設（株）、（有）代田工業、（有）今村工務所、クラウニング（株）
312,総合評価,とび・土工・コンクリート工事,841.0,112170000,地すべり対策工 法面対策工 地下水排除工,飯田建設事務所,下伊那郡大鹿村,勝間田建設（株）、（株）吉野組、（株）カリス、（株）トライネット、大協建設（株）、神稲建設（株）、北沢建設（株）
313,総合評価,土木一式工事,812.0,32900000,,南信州地域振興局,飯田市,（株）近藤工務店、（株）シノダ、池端工業（株）
314,総合評価,土木一式工事,812.0,70990000,山腹工 土留工,南信州地域振興局,飯田市,（株）カリス、細澤建設（株）、三建建設（有）
315,受注希望,とび・土工・コンクリート工事,756.0,10890000,大型案内標識設置工 道路付属施設工 照明工 防護柵工 ガードパイプ設置工,飯田建設事務所,下伊那郡大鹿村,関口工業（有）、（株）石原工務店、保安商事（株）、（株）ＣＴＳラインテック、（株）タカサワマテリアル、中信測機（株）、長野機材（株）、（株）パテック、黒河内建設（株）、牧島建設（有）、矢木コーポレーション（株）、（株）長野自動車センター、（株）下平組
316,総合評価,とび・土工・コンクリート工事,841.0,83500000,斜面対策工 斜面補強土工,飯田建設事務所,飯田市,（株）清信建設興業、伊賀良建設（株）、木下工業（株）、（株）シノダ、（有）尾畑組、勝間田建設（株）、（株）パテック、神稲建設（株）、北沢建設（株）、阿智工務店（株）
317,総合評価,とび・土工・コンクリート工事,841.0,98090000,斜面対策工 斜面補強土工,飯田建設事務所,飯田市,（株）清信建設興業、伊賀良建設（株）、阿智工務店（株）、（株）シノダ、北沢建設（株）、（有）尾畑組、勝間田建設（株）、（株）パテック、神稲建設（株）、木下工業（株）
318,受注希望,とび・土工・コンクリート工事,756.0,9180000,排水ボーリング工 集水ボーリング孔洗浄工,南信州地域振興局,下伊那郡大鹿村,古田工業（株）
319,総合評価,土木一式工事,812.0,非公開,,南信州地域振興局,飯田市,
320,総合評価,土木一式工事,812.0,40000000,,南信州地域振興局,喬木村,細澤建設（株）
321,総合評価,土木一式工事,812.0,59520000,渓間工,南信州地域振興局,阿智村,勝間田建設（株）、南信土木建築（有）、（有）尾畑組、三建建設（有）、クラウニング（株）
322,受注希望,とび・土工・コンクリート工事,,4430000,山腹工,南信州地域振興局,阿南町,（有）かどや工務店、（有）神和創建
323,総合評価,舗装工事,926.0,事後公開,舗装修繕工 切削工 オーバーレイ工,飯田建設事務所,飯田市,金本建設（株）、神稲建設（株）、小木曽建設（株）、藤井興業（株）、（株）トライネット
324,総合評価,とび・土工・コンクリート工事,841.0,91670000,張コンクリート工 鉄筋挿入工 簡易吹付法枠工,飯田建設事務所,飯田市,伊賀良建設（株）、（有）尾畑組
325,受注希望,土木一式工事,953.0,297000000,仮設土留工 グラウンドアンカー工,飯田建設事務所,下伊那郡天龍村,木下建設（株）
326,受注希望,とび・土工・コンクリート工事,756.0,非公開,橋梁補修工 伸縮継手工 支承補修工,飯田建設事務所,飯田市,
327,受注希望,土木一式工事,811.0,非公開,土止工 フトン篭工,南信州地域振興局,下伊那郡泰阜村,
328,受注希望,森林整備,590.0,5540000,,南信州地域振興局,阿智村,（有）北原土木、飯伊森林組合、エレファントチーム
329,受注希望,森林整備,,1700000,,南信州地域振興局,飯田市,飯伊森林組合、エレファントチーム
330,受注希望,森林整備,,6790000,,南信州地域振興局,大鹿村,飯伊森林組合、エレファントチーム
331,受注希望,森林整備,537.0,2040000,,南信州地域振興局,阿智村,飯伊森林組合、エレファントチーム
332,総合評価,土木一式工事,812.0,32220000,道路工 擁壁工,南信州地域振興局,下伊那郡阿智村,南信土木建築（有）、三建建設（有）、藤井興業（株）、（株）清信建設興業、（有）畑中工務所
333,受注希望,森林整備,,6000000,,南信州地域振興局,飯田市,エレファントチーム、飯伊森林組合
334,総合評価,土木一式工事,812.0,39690000,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,クラウニング（株）、藤井興業（株）、（有）雄長組、（株）下平組
335,受注希望,土木一式工事,741.0,21640000,,南信州地域振興局,下伊那郡高森町,道栄建設（株）、クラウニング（株）
336,受注希望,土木一式工事,741.0,14720000,水路工,南信州地域振興局,下伊那郡下條村,三建建設（有）
337,受注希望,とび・土工・コンクリート工事,756.0,11860000,獣害防止柵設置工,南信州地域振興局,下伊那郡阿智村,（株）片桐工務所、阿智工務店（株）、（株）下平組、南信土木建築（有）、（有）代田工業
338,総合評価,とび・土工・コンクリート工事,756.0,非公開,橋梁耐震補強工 下部工 橋脚補強工 断面修復工 ひび割れ注入工,飯田建設事務所,下伊那郡阿智村,
339,受注希望,土木一式工事,812.0,非公開,,南信州地域振興局,飯田市,
340,受注希望,電気工事,820.0,非公開,,南信州地域振興局,下伊那郡高森町,
341,総合評価,とび・土工・コンクリート工事,756.0,32710000,山腹工,南信州地域振興局,泰阜村,金本建設（株）、（有）畑中工務所、クラウニング（株）、南部建設（有）
342,総合評価,とび・土工・コンクリート工事,756.0,38470000,橋梁補修工 橋脚耐震補強工 ひび割れ補修工 支承補完構造工,飯田建設事務所,下伊那郡喬木村,（有）尾畑組
343,総合評価,とび・土工・コンクリート工事,841.0,事後公開,橋梁耐震補強工,飯田建設事務所,下伊那郡下條村,
344,総合評価,土木一式工事,953.0,事後公開,橋梁下部工 護床工,飯田建設事務所,下伊那郡豊丘村から高森町,
345,総合評価,とび・土工・コンクリート工事,756.0,28580000,コンクリート吹付工,飯田建設事務所,飯田市,（有）畑中工務所、（株）パテック、藤井興業（株）
346,総合評価,土木一式工事,953.0,143840000,橋梁下部工 基礎工 仮締切工,飯田建設事務所,下伊那郡豊丘村から高森町,北沢建設（株）、吉川建設（株）
347,総合評価,とび・土工・コンクリート工事,841.0,52110000,橋梁補修工 橋面補修工 排水装置補修工 地覆補修工,飯田建設事務所,下伊那郡喬木村,小木曽建設（株）
348,総合評価,とび・土工・コンクリート工事,756.0,非公開,松川橋工 橋梁耐震補強工 上部工 落橋防止工 久米川橋工 橋梁補修工 主桁補修工 主桁塗装工,飯田建設事務所,下伊那郡阿智村,
349,総合評価,とび・土工・コンクリート工事,756.0,非公開,法面対策工 コンクリート吹付工,飯田建設事務所,飯田市,
350,総合評価,土木一式工事,812.0,34810000,谷止工,南信州地域振興局,天龍村,（株）パテック
351,総合評価,とび・土工・コンクリート工事,756.0,34480000,山腹工 固定工,南信州地域振興局,天龍村,（有）畑中工務所、（株）金田組
352,総合評価,とび・土工・コンクリート工事,841.0,176870000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,クラウニング（株）、長豊建設（株）、木下建設（株）、小池建設（株）、勝間田建設（株）
353,総合評価,とび・土工・コンクリート工事,841.0,188140000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,クラウニング（株）、吉川建設（株）、小池建設（株）、勝間田建設（株）
354,総合評価,とび・土工・コンクリート工事,756.0,44030000,法面修繕工 繊維補強モルタル吹付工,飯田建設事務所,下伊那郡阿智村,（有）畑中工務所、（株）吉野組、金本建設（株）、（株）シノダ、伊賀良建設（株）、（株）清信建設興業、南信土木建築（有）、（株）トライネット
355,総合評価,とび・土工・コンクリート工事,841.0,105690000,地すべり対策工 抑止杭工 横ボーリング工,飯田建設事務所,飯田市,クラウニング（株）、北沢建設（株）、小池建設（株）、大協建設（株）
356,総合評価,とび・土工・コンクリート工事,841.0,69410000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,（株）トライネット
357,総合評価,とび・土工・コンクリート工事,841.0,58060000,貯水池内掘削工 運搬工,飯田建設事務所,下伊那郡松川町,（有）宮澤組、（株）吉野組
358,受注希望,とび・土工・コンクリート工事,756.0,26840000,山腹工,南信州地域振興局,飯田市,細澤建設（株）、（株）近藤工務店、（株）南建設
359,総合評価,建築一式工事,798.0,非公開,,飯田建設事務所,飯田市,
360,受注希望,電気工事,820.0,21050000,,南信州地域振興局,下伊那郡高森町,甲信商事（株）
361,受注希望,塗装工事,751.0,20360000,目地補修工 断面修復工 水抜き工,南信州地域振興局,下伊那郡松川町,進興エンジニアリング（株）、（株）ダイソー、大澤塗装工業（株）
362,受注希望,とび・土工・コンクリート工事,756.0,13580000,橋梁補修工 伸縮継手工 支承補修工,飯田建設事務所,飯田市,（有）小池興業
363,総合評価,土木一式工事,953.0,97940000,橋梁下部工 護床工,飯田建設事務所,下伊那郡豊丘村から高森町,神稲建設（株）
364,受注希望,とび・土工・コンクリート工事,756.0,6480000,伸縮装置取替工,飯田建設事務所,下伊那郡喬木村,（有）吉川建設工業
365,総合評価,土木一式工事,953.0,145440000,道路築造工 大型ブロック積工 切土工,飯田建設事務所,下伊那郡阿南町,クラウニング（株）、（株）サンテクト、長豊建設（株）、（株）清信建設興業、（株）シノダ
366,総合評価,土木一式工事,953.0,143950000,砂防堰堤工 本堤工 垂直壁工 付替道路工,飯田建設事務所,下伊那郡天龍村,クラウニング（株）、勝間田建設（株）
367,受注希望,土木一式工事,811.0,3620000,土止工 フトン篭工,南信州地域振興局,下伊那郡泰阜村,金山工業（株）
368,総合評価,建築一式工事,798.0,52030000,,飯田建設事務所,飯田市,吉川建設（株）、（株）サイト
369,受注希望,森林整備,,700000,保育工,南信州地域振興局,高森町,エレファントチーム、飯伊森林組合
370,受注希望,森林整備,,2450000,保育工 危険木除去工,南信州地域振興局,飯田市,飯伊森林組合、杣人、エレファントチーム
371,総合評価,とび・土工・コンクリート工事,841.0,58320000,法面対策工 コンクリート吹付工 ポケット式ロックネット工,飯田建設事務所,飯田市,（株）三六組、勝間田建設（株）、小池建設（株）
372,総合評価,土木一式工事,812.0,53080000,道路拡幅工 擁壁工 舗装工,飯田建設事務所,下伊那郡松川町,（有）畑中工務所、（有）尾畑組
373,受注希望,造園工事,751.0,13540000,植栽維持工,飯田建設事務所,飯田市,（株）伍福園、文吾林造園（株）
374,総合評価,土木一式工事,,2077970000,トンネル工,飯田建設事務所,下伊那郡天龍村,岡谷組・小池建設特定建設工事共同企業体、佐藤・木下特定建設工事共同企業体、吉川・神稲特定建設工事共同企業体
375,受注希望,森林整備,,1630000,,南信州地域振興局,阿智村,飯伊森林組合
376,受注希望,とび・土工・コンクリート工事,756.0,36860000,目地補修工 断面修復工 水抜き工,南信州地域振興局,下伊那郡豊丘村,（有）尾畑組
377,受注希望,土木一式工事,811.0,非公開,排水路工,南信州地域振興局,下伊那郡豊丘村,
378,総合評価,土木一式工事,741.0,21030000,道路築造工,飯田建設事務所,飯田市,道栄建設（株）、（株）近藤工務店
379,総合評価,土木一式工事,812.0,非公開,管路工,南信州地域振興局,下伊那郡高森町,
380,総合評価,とび・土工・コンクリート工事,756.0,非公開,橋梁耐震補強工 橋面補修工 伸縮継手補修工 主桁補修工,飯田建設事務所,下伊那郡阿南町,
381,受注希望,舗装工事,,4000000,道路修繕工 車道舗装工 歩道舗装工,飯田建設事務所,下伊那郡阿南町,小木曽建設（株）
382,受注希望,森林整備,745.0,13520000,,南信州地域振興局,根羽村,飯伊森林組合、エレファントチーム
383,受注希望,土木一式工事,657.0,12440000,道路工 舗装工 水路工,南信州地域振興局,下伊那郡阿智村,（有）畑中工務所、（有）イチバ土木、（有）コスモ建設、太田土建（有）
384,総合評価,とび・土工・コンクリート工事,841.0,98350000,法面対策工 現場打吹付法枠工 鉄筋挿入工,飯田建設事務所,下伊那郡阿南町,（株）サンテクト
385,受注希望,土木一式工事,812.0,42830000,渓間工,南信州地域振興局,高森町,（有）尾畑組、クラウニング（株）、三建建設（有）
386,総合評価,とび・土工・コンクリート工事,841.0,80540000,法面対策工 鉄筋挿入工併用モルタル吹付工 繊維補強モルタル吹付工 落石防止網撤去設置工,飯田建設事務所,上伊那郡中川村から下伊那郡大鹿村,金本建設（株）、（株）清信建設興業、（株）吉野組、南信土木建築（有）、（株）トライネット、長豊建設（株）、（株）三六組、木下建設（株）、北沢建設（株）
387,総合評価,とび・土工・コンクリート工事,841.0,非公開,橋梁耐震補強工,飯田建設事務所,下伊那郡下條村,
388,受注希望,とび・土工・コンクリート工事,756.0,24590000,防火水槽設置工,南信州地域振興局,下伊那郡豊丘村,（株）三六組
389,受注希望,土木一式工事,812.0,72170000,道路工 置換層工 下層路盤工 側溝工,南信州地域振興局,田村,三建建設（有）、（有）宮澤組、小池建設（株）
390,受注希望,土木一式工事,812.0,44710000,管路工,南信州地域振興局,下伊那郡高森町,（有）北原土木
391,受注希望,土木一式工事,741.0,26380000,道路工 舗装工 ブロック積工 側溝工,南信州地域振興局,豊丘地区,（有）畑中工務所、太田土建（有）、（有）清水建材工業、小木曽建設（株）、小池建設（株）
392,総合評価,舗装工事,825.0,9580000,舗装修繕工,飯田建設事務所,飯田市,神稲建設（株）、小木曽建設（株）
393,受注希望,土木一式工事,657.0,7790000,河畔林整備工 支障木伐採工,飯田建設事務所,下伊那郡高森町,（有）北原土木、飯田建設（株）
394,総合評価,とび・土工・コンクリート工事,756.0,29440000,橋梁補修工 橋面舗装補修工 橋面防水工,飯田建設事務所,飯田市,神稲建設（株）、小木曽建設（株）、小池建設（株）
395,受注希望,土木一式工事,,非公開,河畔林整備工 流出危険木伐採工,飯田建設事務所,飯田市,
396,受注希望,土木一式工事,,非公開,河畔林整備工 流出危険木伐採工,飯田建設事務所,下伊那郡松川町,
397,受注希望,土木一式工事,741.0,非公開,土止工 フトン篭工 越久保工 米川工,南信州地域振興局,飯田市,
398,受注希望,土木一式工事,657.0,9760000,ため池工 堤体盛土工 余水吐工,南信州地域振興局,下伊那郡喬木村,大平建設（株）
399,受注希望,舗装工事,825.0,9690000,舗装工,南信州地域振興局,下伊那郡阿智村,南信土木建築（有）、金本建設（株）
400,受注希望,とび・土工・コンクリート工事,756.0,10250000,山腹工 実播工,南信州地域振興局,阿南町,（有）かどや工務店
401,受注希望,土木一式工事,741.0,16320000,土止工 フトン篭工 越久保工 米川工,南信州地域振興局,飯田市,南信土木建築（有）
402,受注希望,土木一式工事,741.0,事後公開,鴨目工 土止工 フトン篭工 横孔ボーリング工 鳥原工 排水路工,南信州地域振興局,下伊那郡阿南町,
403,総合評価,とび・土工・コンクリート工事,756.0,非公開,トンネル修繕工 表面被覆保護工 漏水処理工 ひび割れ注入工,飯田建設事務所,下伊那郡大鹿村,
404,総合評価,土木一式工事,812.0,29620000,山腹工 土留工,南信州地域振興局,飯田市,クラウニング（株）
405,受注希望,森林整備,,920000,流木対策工 危険木処理工,南信州地域振興局,平谷村,飯伊森林組合
406,総合評価,とび・土工・コンクリート工事,756.0,18840000,落石対策工 高エネルギー吸収型落石防止網工,飯田建設事務所,下伊那郡泰阜村から阿智村,（有）畑中工務所、金本建設（株）、（有）宮澤組、（有）福士組
407,受注希望,電気工事,820.0,46560000,トンネル照明設備工,飯田建設事務所,工区,（株）共進電気、土屋電気工事（株）、東陽興業（株）、新井電気工事（株）
408,一般競争,電気通信工事,703.0,非公開,,飯田建設事務所,和田,
409,受注希望,土木一式工事,657.0,非公開,水路工,南信州地域振興局,下伊那郡豊丘村,
410,受注希望,土木一式工事,657.0,15300000,谷止工,南信州地域振興局,阿南町,（有）畑中工務所、（有）かどや工務店
411,総合評価,土木一式工事,812.0,71790000,道路築造工 抑止杭工 舗装工,飯田建設事務所,飯田市,山崎建設（株）
412,総合評価,土木一式工事,741.0,18230000,支障木除去工 河床整理工,飯田建設事務所,阿智村,道栄建設（株）、クラウニング（株）
413,受注希望,とび・土工・コンクリート工事,756.0,13260000,落石防止工 落石防護網工,飯田建設事務所,飯田市,（有）福士組、山崎建設（株）、（株）パテック、宮嘉建設（有）、（有）竹村工務所、（株）南建設
414,受注希望,土木一式工事,657.0,非公開,堆積土除去工 支障木伐採工,飯田建設事務所,下市,
415,受注希望,土木一式工事,657.0,非公開,樹木除去工 堆積土除去工,飯田建設事務所,飯田市,
416,受注希望,土木一式工事,657.0,17900000,山腹工,南信州地域振興局,阿智村,阿智工務店（株）
417,受注希望,とび・土工・コンクリート工事,756.0,非公開,山腹工,南信州地域振興局,豊丘村,
418,受注希望,土木一式工事,657.0,11600000,堆積土除去工,飯田建設事務所,喬木村,道栄建設（株）、（有）神和創建、（有）尾畑組、（株）パテック、（有）今村工務所
419,受注希望,土木一式工事,811.0,2550000,,南信州地域振興局,飯田市,道栄建設（株）
420,受注希望,土木一式工事,,3100000,河畔林整備工 流出危険木伐採工,飯田建設事務所,下伊那郡松川町,文吾林造園（株）、（有）北原土木
421,受注希望,土木一式工事,812.0,45270000,仮設道路工 仮橋工 舗装工,飯田建設事務所,下伊那郡大鹿村,（株）吉野組
422,受注希望,土木一式工事,,1500000,河畔林整備工 流出危険木伐採工,飯田建設事務所,飯田市,（有）北原土木、文吾林造園（株）
423,受注希望,電気工事,820.0,36440000,トンネル照明設備工,飯田建設事務所,工区,土屋電気工事（株）、東陽興業（株）、南新電気工業（株）、新井電気工事（株）
424,総合評価,とび・土工・コンクリート工事,841.0,59540000,橋梁補修工 伸縮装置補修工 支承補修工 橋台補修工,飯田建設事務所,下伊那郡喬木村,小木曽建設（株）、（株）三六組
425,一般競争,電気通信工事,,4160000,,飯田建設事務所,下伊那郡松川町,日本無線株式会社北信越支社
426,受注希望,土木一式工事,811.0,非公開,山腹工,南信州地域振興局,喬木村,
427,総合評価,とび・土工・コンクリート工事,756.0,非公開,トンネル修繕工 表面被覆保護工 漏水処理工 ひび割れ注入工,飯田建設事務所,下伊那郡大鹿村,
428,受注希望,土木一式工事,657.0,9370000,護岸工 ブロック積工 小口止工 雑工,飯田建設事務所,下伊那郡泰阜村,宮下建設（有）
